Group,F1 score,Accuracy,Precision,Recall
Ages 0 to 20,0.0,0.9344262295081968,0.0,0.0
Ages 20 to 40,0.5227272727272727,0.9578313253012049,0.8846153846153846,0.3709677419354839
Ages 40 to 60,0.4013157894736843,0.9410430839002267,0.8133333333333334,0.2663755458515284
Ages 60 to 80,0.459958932238193,0.9398307023564402,0.7671232876712328,0.3284457478005865
Ages 80 to 100,0.36065573770491804,0.9323503902862099,0.7096774193548387,0.24175824175824176
