Group,F1 score,Accuracy,Precision,Recall
Ages 0 to 20,0.6666666666666666,0.9672131147540983,1.0,0.5
Ages 20 to 40,0.74,0.9738955823293173,0.9736842105263158,0.5967741935483871
Ages 40 to 60,0.6324786324786325,0.9582118561710399,0.9098360655737705,0.4847161572052402
Ages 60 to 80,0.6824817518248175,0.9601921757035004,0.9033816425120773,0.5483870967741935
Ages 80 to 100,0.7432432432432432,0.9670424978317432,0.9649122807017544,0.6043956043956044
